date,state,cases,deaths
2020-01-31,Alabama,0,0
2020-02-29,Alabama,0,0
2020-01-31,Alaska,0,0
2020-02-29,Alaska,0,0
2020-01-31,Arkansas,0,0
2020-02-29,Arkansas,0,0
2020-01-31,Colorado,0,0
2020-02-29,Colorado,0,0
2020-01-31,Connecticut,0,0
2020-02-29,Connecticut,0,0
2020-01-31,Delaware,0,0
2020-02-29,Delaware,0,0
2020-01-31,District of Columbia,0,0
2020-02-29,District of Columbia,0,0
2020-01-31,Florida,0,0
2020-02-29,Florida,0,0
2020-01-31,Georgia,0,0
2020-02-29,Georgia,0,0
2020-01-31,Guam,0,0
2020-02-29,Guam,0,0
2020-01-31,Hawaii,0,0
2020-02-29,Hawaii,0,0
2020-01-31,Idaho,0,0
2020-02-29,Idaho,0,0
2020-01-31,Indiana,0,0
2020-02-29,Indiana,0,0
2020-01-31,Iowa,0,0
2020-02-29,Iowa,0,0
2020-01-31,Kentucky,0,0
2020-02-29,Kentucky,0,0
2020-01-31,Louisiana,0,0
2020-02-29,Louisiana,0,0
2020-01-31,Maine,0,0
2020-02-29,Maine,0,0
2020-01-31,Maryland,0,0
2020-02-29,Maryland,0,0
2020-01-31,Massachusetts,0,0
2020-01-31,Michigan,0,0
2020-02-29,Michigan,0,0
2020-01-31,Minnesota,0,0
2020-02-29,Minnesota,0,0
2020-01-31,Mississippi,0,0
2020-02-29,Mississippi,0,0
2020-01-31,Missouri,0,0
2020-02-29,Missouri,0,0
2020-01-31,Montana,0,0
2020-02-29,Montana,0,0
2020-01-31,Nebraska,0,0
2020-01-31,Nevada,0,0
2020-02-29,Nevada,0,0
2020-01-31,New Hampshire,0,0
2020-02-29,New Hampshire,0,0
2020-01-31,New Jersey,0,0
2020-02-29,New Jersey,0,0
2020-01-31,New Mexico,0,0
2020-02-29,New Mexico,0,0
2020-01-31,New York,0,0
2020-02-29,New York,0,0
2020-01-31,North Carolina,0,0
2020-02-29,North Carolina,0,0
2020-01-31,Northern Mariana Islands,0,0
2020-02-29,Northern Mariana Islands,0,0
2020-01-31,Ohio,0,0
2020-02-29,Ohio,0,0
2020-01-31,Oklahoma,0,0
2020-02-29,Oklahoma,0,0
2020-01-31,Oregon,0,0
2020-01-31,Pennsylvania,0,0
2020-02-29,Pennsylvania,0,0
2020-01-31,Puerto Rico,0,0
2020-02-29,Puerto Rico,0,0
2020-01-31,Rhode Island,0,0
2020-02-29,Rhode Island,0,0
2020-01-31,South Carolina,0,0
2020-02-29,South Carolina,0,0
2020-01-31,South Dakota,0,0
2020-02-29,South Dakota,0,0
2020-01-31,Tennessee,0,0
2020-02-29,Tennessee,0,0
2020-01-31,Texas,0,0
2020-01-31,Utah,0,0
2020-01-31,Vermont,0,0
2020-02-29,Vermont,0,0
2020-01-31,Virgin Islands,0,0
2020-02-29,Virgin Islands,0,0
2020-01-31,Virginia,0,0
2020-02-29,Virginia,0,0
2020-01-31,West Virginia,0,0
2020-02-29,West Virginia,0,0
2020-01-31,Wisconsin,0,0
2020-01-31,Wyoming,0,0
2020-02-29,Wyoming,0,0
2020-01-31,Arizona,1,0
2020-01-31,California,3,0
2020-01-31,Illinois,2,0
2020-01-31,Washington,1,0
2020-02-29,Arizona,1,0
2020-02-29,California,28,0
2020-02-29,Illinois,3,0
2020-02-29,Massachusetts,1,0
2020-02-29,Nebraska,13,0
2020-02-29,Oregon,1,0
2020-02-29,Texas,11,0
2020-02-29,Utah,1,0
2020-02-29,Washington,10,1
2020-02-29,Wisconsin,1,0
2020-03-31,Alabama,999,14
2020-03-31,Alaska,133,2
2020-03-31,Arizona,1298,24
2020-03-31,Arkansas,564,8
2020-03-31,California,8583,184
2020-03-31,Colorado,2990,69
2020-03-31,Connecticut,3128,69
2020-03-31,Delaware,319,10
2020-03-31,District of Columbia,495,9
2020-03-31,Florida,6742,85
2020-03-31,Georgia,4116,126
2020-03-31,Guam,139,2
2020-03-31,Hawaii,224,1
2020-03-31,Idaho,526,9
2020-03-31,Illinois,5992,107
2020-03-31,Indiana,2177,61
2020-03-31,Iowa,498,7
2020-03-31,Kansas,435,10
2020-03-31,Kentucky,590,18
2020-03-31,Louisiana,5237,240
2020-03-31,Maine,303,5
2020-03-31,Maryland,1662,18
2020-03-31,Massachusetts,6620,89
2020-03-31,Michigan,7629,264
2020-03-31,Minnesota,629,12
2020-03-31,Mississippi,937,20
2020-03-31,Missouri,1350,15
2020-03-31,Montana,198,5
2020-03-31,Nebraska,199,4
2020-03-31,Nevada,1113,26
2020-03-31,New Hampshire,367,3
2020-03-31,New Jersey,18696,267
2020-03-31,New Mexico,315,5
2020-03-31,New York,76211,1929
2020-03-31,North Carolina,1527,10
2020-03-31,North Dakota,126,3
2020-03-31,Northern Mariana Islands,2,0
2020-03-31,Ohio,2199,55
2020-03-31,Oklahoma,566,23
2020-03-31,Oregon,690,18
2020-03-31,Pennsylvania,4997,72
2020-03-31,Puerto Rico,239,8
2020-03-31,Rhode Island,488,8
2020-03-31,South Carolina,1083,22
2020-03-31,South Dakota,107,1
2020-03-31,Tennessee,2049,13
2020-03-31,Texas,3588,57
2020-03-31,Utah,887,5
2020-03-31,Vermont,293,13
2020-03-31,Virgin Islands,30,0
2020-03-31,Virginia,1249,27
2020-03-31,Washington,5293,226
2020-03-31,West Virginia,162,1
2020-03-31,Wisconsin,1351,25
2020-03-31,Wyoming,121,0
2020-04-30,Alabama,7068,272
2020-04-30,Alaska,353,7
2020-04-30,Arizona,7648,320
2020-04-30,Arkansas,3281,61
2020-04-30,California,50470,2057
2020-04-30,Colorado,15207,775
2020-04-30,Connecticut,27700,2257
2020-04-30,Delaware,4734,152
2020-04-30,District of Columbia,4323,224
2020-04-30,Florida,33683,1267
2020-04-30,Georgia,25431,1121
